country,year,alcohol_per_capita_litres,happiness
Serbia,2022,9.031429744,6.144
Sierra Leone,2022,0.333926582,3.138
Singapore,2022,1.957898777,6.587
Slovakia,2022,10.971753594,6.469
Viet Nam,2022,10.715407922,5.763
Slovenia,2022,10.904862669,6.65
South Africa,2022,7.791869619,5.275
Zimbabwe,2022,5.431140166,3.204
Spain,2022,10.973062606,6.436
Sweden,2022,9.61281486,7.395
Switzerland,2022,9.159367126,7.24
Tajikistan,2022,0.727050237,5.33
Thailand,2022,7.62560555,5.843
Togo,2022,1.204791883,4.137
United Arab Emirates,2022,0.815153617,6.571
Tunisia,2022,1.806905424,4.497
Türkiye,2022,2.196677656,4.614
Uganda,2022,6.331816257,4.432
Ukraine,2022,7.427703122,5.071
North Macedonia,2022,5.764115445,5.254
Egypt,2022,0.093238259,4.17
Burkina Faso,2022,7.457267587,4.638
Uruguay,2022,6.163094346,6.494
Uzbekistan,2022,2.062959639,6.014
Zambia,2022,3.612537566,3.982
Ghana,2022,4.443664946,4.605
Greece,2022,6.97513962,5.931
Guatemala,2022,1.697843761,6.15
Guinea,2022,0.536201883,5.072
Honduras,2022,3.142463315,6.023
Hungary,2022,11.251791785,6.041
Iceland,2022,8.212301225,7.53
India,2022,4.54485445,4.036
Indonesia,2022,0.084544712,5.277
Iraq,2022,0.643986639,4.941
Ireland,2022,10.545296696,6.911
Israel,2022,3.124478878,7.473
Italy,2022,8.329214324,6.405
Jamaica,2022,3.925550048,5.703
Japan,2022,6.310085844,6.129
Kazakhstan,2022,5.367094528,6.144
Jordan,2022,0.250387453,4.12
Kenya,2022,2.479798025,4.487
Republic of Korea,2022,8.364575713,5.951
Kyrgyzstan,2022,3.919740299,5.825
Lebanon,2022,1.587148554,2.392
Latvia,2022,14.725690798,6.213
Liberia,2022,2.830071829,4.042
Lithuania,2022,12.184914963,6.763
Luxembourg,2022,10.798624577,7.228
Madagascar,2022,0.861334428,4.019
Malawi,2022,1.698821374,3.495
Malaysia,2022,0.81302767,6.012
Mali,2022,3.556644487,4.198
Malta,2022,6.199500055,6.3
Mauritania,2022,0.008231313,4.724
Mauritius,2022,7.653117144,5.902
Mexico,2022,6.01050571,6.33
Mongolia,2022,7.735525432,5.84
Republic of Moldova,2022,14.128274439,5.819
Montenegro,2022,8.014332562,5.722
Morocco,2022,0.574778591,4.903
Mozambique,2022,1.911122059,4.954
Namibia,2022,11.993195416,4.631
Nepal,2022,3.733278965,5.36
New Zealand,2022,9.211794944,7.123
Nicaragua,2022,3.932428943,6.259
Niger,2022,0.154657877,4.501
Nigeria,2022,2.312369966,4.981
Norway,2022,7.480056891,7.315
Pakistan,2022,0.093935174,4.555
Panama,2022,6.26601381,6.265
Paraguay,2022,6.659188832,5.738
Peru,2022,6.786281893,5.526
Philippines,2022,5.68987285,5.523
Poland,2022,11.917515641,6.26
Portugal,2022,11.215514461,5.968
Romania,2022,17.062367512,6.589
Russian Federation,2022,10.508027855,5.661
Senegal,2022,0.398744297,4.855
Algeria,2022,0.455062278,5.329
Argentina,2022,8.840678514,6.024
Australia,2022,11.151637252,7.095
Austria,2022,11.849393091,7.097
Bahrain,2022,1.660288685,6.173
Bangladesh,2022,0.002880059,4.282
Armenia,2022,4.299724304,5.342
Belgium,2022,8.74277214,6.859
Bosnia and Herzegovina,2022,6.328863822,5.633
Botswana,2022,6.043486605,3.435
Brazil,2022,9.382006573,6.125
Bulgaria,2022,11.541502876,5.466
Myanmar,2022,1.874914099,4.372
Cambodia,2022,5.398220413,4.393
Cameroon,2022,7.966839404,4.973
Canada,2022,10.027116292,6.961
Sri Lanka,2022,2.704348485,4.442
Chad,2022,3.017081885,4.397
Chile,2022,7.929030561,6.334
China,2022,4.519235093,5.818
Colombia,2022,4.321593605,5.63
Comoros,2022,0.413972511,3.545
Congo,2022,6.35144875,5.267
Costa Rica,2022,3.798156508,6.609
Croatia,2022,10.8467002,6.125
Cyprus,2022,5.208172964,6.13
Czechia,2022,13.683374607,6.845
Benin,2022,6.980106811,4.374
Denmark,2022,9.97494856,7.586
Dominican Republic,2022,5.169567465,5.569
Ecuador,2022,2.69132059,5.559
El Salvador,2022,3.404530142,6.122
Ethiopia,2022,3.140352019,4.091
Estonia,2022,10.487442399,6.455
Finland,2022,9.509017609,7.804
France,2022,11.201565376,6.661
Gabon,2022,7.871517297,5.035
Georgia,2022,15.538821413,5.109
Gambia,2022,0.621637416,4.279
Germany,2022,11.238516165,6.892
Afghanistan,2022,0.00794198,1.859
Albania,2022,4.97477125,5.277
